id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.cercle,children_count.arrondissement,children_count.commune,zip_codes,geo.lat,geo.lon
ML-A030101,3,Arrondissement,Arrondissement,Sikasso,Sikasso,sikasso-030101,ML-A030101,,ML0301,Sikasso,Sikasso,,,,12,,11.318,-5.667
ML-A030102,3,Arrondissement,Arrondissement,N'Kourala,N'Kourala,nkourala-030102,ML-A030102,,ML0301,Sikasso,Sikasso,,,,4,,11.318,-5.667
ML-A030201,3,Arrondissement,Arrondissement,Kadiolo,Kadiolo,kadiolo-030201,ML-A030201,,ML0302,Kadiolo,Kadiolo,,,,3,,10.55,-5.767
ML-A030202,3,Arrondissement,Arrondissement,Fourou,Fourou,fourou-030202,ML-A030202,,ML0302,Kadiolo,Kadiolo,,,,1,,10.55,-5.767
ML-A030203,3,Arrondissement,Arrondissement,Misséni,Misséni,missni-030203,ML-A030203,,ML0302,Kadiolo,Kadiolo,,,,1,,10.55,-5.767
ML-A030204,3,Arrondissement,Arrondissement,Zégoua,Zégoua,zgoua-030204,ML-A030204,,ML0302,Kadiolo,Kadiolo,,,,1,,10.55,-5.767
ML-A030301,3,Arrondissement,Arrondissement,Dandérésso,Dandérésso,dandrsso-030301,ML-A030301,,,,,,,,1,,11.486,-5.482
ML-A030302,3,Arrondissement,Arrondissement,Nongo-Souala,Nongo-Souala,nongo-souala-030302,ML-A030302,,,,,,,,1,,11.762,-5.563
ML-A030401,3,Arrondissement,Arrondissement,Kignan,Kignan,kignan-030401,ML-A030401,,ML0304,Kignan,Kignan,,,,6,,11.852,-6.014
ML-A030402,3,Arrondissement,Arrondissement,Dogoni,Dogoni,dogoni-030402,ML-A030402,,ML0304,Kignan,Kignan,,,,2,,11.852,-6.014
ML-A030403,3,Arrondissement,Arrondissement,Doumanaba,Doumanaba,doumanaba-030403,ML-A030403,,ML0304,Kignan,Kignan,,,,1,,11.852,-6.014
ML-A030501,3,Arrondissement,Arrondissement,Kléla,Kléla,klla-030501,ML-A030501,,,,,,,,2,,12.176,-5.863
ML-A030502,3,Arrondissement,Arrondissement,Fama,Fama,fama-030502,ML-A030502,,,,,,,,1,,11.524,-5.693
ML-A030503,3,Arrondissement,Arrondissement,Kouoro,Kouoro,kouoro-030503,ML-A030503,,,,,,,,1,,12.015,-5.708
ML-A030601,3,Arrondissement,Arrondissement,Lobougoula,Lobougoula,lobougoula-030601,ML-A030601,,ML0306,Lobougoula,Lobougoula,,,,1,,11.044,-5.981
ML-A030602,3,Arrondissement,Arrondissement,Kolokoba,Kolokoba,kolokoba-030602,ML-A030602,,ML0306,Lobougoula,Lobougoula,,,,1,,11.044,-5.981
ML-A030701,3,Arrondissement,Arrondissement,Loulouni,Loulouni,loulouni-030701,ML-A030701,,ML0307,Loulouni,Loulouni,,,,2,,10.9,-5.6
